cat_col_1,cat_col_2,cat_col_3,cat_col_4,cat_col_5,cat_col_6,cat_col_7,cat_col_8,cat_col_9,cat_col_10,cat_col_11,cat_col_12,cat_col_13,cat_col_14,cat_col_15,cat_col_16,cat_col_17,cat_col_18,cat_col_19,cat_col_20
cat_1,cat_3,cat_9,cat_6,cat_4,cat_1,cat_4,cat_5,cat_3,cat_3,cat_4,cat_2,cat_10,cat_2,cat_4,cat_1,cat_10,cat_1,cat_2,cat_10
cat_8,cat_1,cat_2,cat_8,cat_7,cat_2,cat_2,cat_1,cat_5,cat_9,cat_8,cat_1,cat_2,cat_8,cat_2,cat_6,cat_3,cat_2,cat_5,cat_9
cat_8,cat_2,cat_2,cat_7,cat_9,cat_9,cat_1,cat_9,cat_2,cat_3,cat_2,cat_7,cat_2,cat_1,cat_1,cat_7,cat_9,cat_5,cat_4,cat_8
cat_7,cat_3,cat_10,cat_3,cat_2,cat_4,cat_9,cat_1,cat_9,cat_7,cat_7,cat_8,cat_4,cat_2,cat_10,cat_3,cat_4,cat_1,cat_8,cat_4
cat_10,cat_1,cat_9,cat_6,cat_8,cat_7,cat_7,cat_6,cat_8,cat_8,cat_5,cat_2,cat_5,cat_9,cat_1,cat_2,cat_6,cat_8,cat_6,cat_6
cat_6,cat_9,cat_4,cat_6,cat_5,cat_1,cat_7,cat_6,cat_5,cat_3,cat_4,cat_2,cat_3,cat_1,cat_3,cat_5,cat_1,cat_7,cat_3,cat_8
cat_7,cat_3,cat_8,cat_5,cat_3,cat_10,cat_5,cat_9,cat_1,cat_4,cat_6,cat_3,cat_10,cat_2,cat_2,cat_6,cat_10,cat_10,cat_2,cat_1
cat_9,cat_6,cat_9,cat_1,cat_9,cat_6,cat_10,cat_9,cat_3,cat_2,cat_3,cat_10,cat_7,cat_6,cat_10,cat_6,cat_4,cat_1,cat_1,cat_4
cat_1,cat_5,cat_4,cat_10,cat_3,cat_6,cat_10,cat_10,cat_4,cat_5,cat_4,cat_3,cat_6,cat_6,cat_8,cat_4,cat_8,cat_10,cat_2,cat_9
cat_4,cat_7,cat_5,cat_9,cat_6,cat_10,cat_8,cat_10,cat_1,cat_4,cat_8,cat_3,cat_4,cat_9,cat_7,cat_1,cat_2,cat_4,cat_7,cat_3
cat_1,cat_2,cat_1,cat_6,cat_6,cat_1,cat_5,cat_10,cat_1,cat_10,cat_6,cat_5,cat_2,cat_9,cat_6,cat_8,cat_7,cat_9,cat_10,cat_2
cat_1,cat_5,cat_4,cat_4,cat_8,cat_3,cat_4,cat_1,cat_4,cat_10,cat_8,cat_2,cat_6,cat_6,cat_3,cat_2,cat_2,cat_10,cat_3,cat_10
cat_4,cat_1,cat_8,cat_5,cat_8,cat_7,cat_8,cat_3,cat_4,cat_9,cat_3,cat_6,cat_5,cat_7,cat_2,cat_7,cat_5,cat_7,cat_1,cat_8
cat_8,cat_5,cat_1,cat_5,cat_3,cat_3,cat_9,cat_2,cat_3,cat_8,cat_8,cat_1,cat_1,cat_3,cat_2,cat_3,cat_4,cat_6,cat_7,cat_3
cat_4,cat_3,cat_3,cat_1,cat_3,cat_1,cat_3,cat_4,cat_2,cat_2,cat_9,cat_3,cat_7,cat_5,cat_7,cat_10,cat_1,cat_9,cat_5,cat_8
cat_2,cat_8,cat_5,cat_9,cat_10,cat_10,cat_9,cat_10,cat_7,cat_9,cat_9,cat_5,cat_5,cat_10,cat_4,cat_4,cat_6,cat_7,cat_2,cat_8
cat_1,cat_2,cat_5,cat_6,cat_7,cat_10,cat_6,cat_8,cat_2,cat_8,cat_4,cat_7,cat_8,cat_6,cat_3,cat_9,cat_1,cat_10,cat_5,cat_10
cat_3,cat_1,cat_5,cat_5,cat_8,cat_4,cat_8,cat_10,cat_3,cat_8,cat_7,cat_9,cat_4,cat_6,cat_5,cat_9,cat_7,cat_8,cat_4,cat_5
cat_8,cat_8,cat_8,cat_9,cat_8,cat_1,cat_3,cat_2,cat_1,cat_5,cat_1,cat_1,cat_8,cat_1,cat_6,cat_2,cat_7,cat_5,cat_3,cat_3
cat_2,cat_3,cat_1,cat_10,cat_9,cat_2,cat_1,cat_6,cat_5,cat_9,cat_5,cat_5,cat_10,cat_1,cat_4,cat_3,cat_2,cat_9,cat_3,cat_1
cat_2,cat_1,cat_10,cat_8,cat_3,cat_9,cat_2,cat_2,cat_3,cat_1,cat_5,cat_2,cat_6,cat_7,cat_6,cat_2,cat_1,cat_5,cat_4,cat_3
cat_9,cat_1,cat_4,cat_8,cat_5,cat_3,cat_2,cat_5,cat_2,cat_10,cat_4,cat_3,cat_1,cat_6,cat_1,cat_9,cat_10,cat_2,cat_9,cat_2
cat_1,cat_2,cat_7,cat_6,cat_2,cat_6,cat_5,cat_9,cat_5,cat_6,cat_6,cat_5,cat_5,cat_3,cat_5,cat_2,cat_4,cat_7,cat_6,cat_9
cat_10,cat_10,cat_7,cat_7,cat_1,cat_7,cat_6,cat_6,cat_5,cat_5,cat_7,cat_2,cat_8,cat_2,cat_2,cat_8,cat_10,cat_10,cat_9,cat_7
cat_6,cat_10,cat_10,cat_8,cat_6,cat_6,cat_7,cat_8,cat_1,cat_8,cat_7,cat_6,cat_1,cat_10,cat_5,cat_6,cat_3,cat_2,cat_10,cat_8
cat_1,cat_5,cat_10,cat_4,cat_3,cat_2,cat_5,cat_9,cat_7,cat_1,cat_3,cat_1,cat_6,cat_2,cat_6,cat_9,cat_6,cat_3,cat_3,cat_8
cat_7,cat_6,cat_9,cat_4,cat_4,cat_6,cat_9,cat_8,cat_3,cat_7,cat_8,cat_2,cat_6,cat_8,cat_5,cat_6,cat_5,cat_2,cat_4,cat_1
cat_1,cat_6,cat_7,cat_1,cat_2,cat_1,cat_6,cat_7,cat_9,cat_2,cat_5,cat_9,cat_6,cat_8,cat_3,cat_5,cat_1,cat_10,cat_3,cat_2
cat_2,cat_6,cat_3,cat_10,cat_7,cat_9,cat_8,cat_6,cat_5,cat_5,cat_3,cat_4,cat_10,cat_4,cat_8,cat_4,cat_9,cat_10,cat_9,cat_2
cat_6,cat_7,cat_8,cat_10,cat_6,cat_5,cat_5,cat_4,cat_6,cat_10,cat_4,cat_4,cat_5,cat_7,cat_8,cat_3,cat_3,cat_9,cat_10,cat_7
cat_9,cat_7,cat_8,cat_9,cat_7,cat_3,cat_2,cat_6,cat_5,cat_9,cat_10,cat_8,cat_8,cat_10,cat_5,cat_3,cat_6,cat_5,cat_3,cat_3
cat_8,cat_10,cat_5,cat_6,cat_4,cat_7,cat_4,cat_4,cat_6,cat_9,cat_3,cat_9,cat_3,cat_4,cat_10,cat_4,cat_5,cat_2,cat_1,cat_4
cat_6,cat_6,cat_8,cat_8,cat_3,cat_5,cat_9,cat_6,cat_2,cat_7,cat_2,cat_2,cat_10,cat_5,cat_3,cat_8,cat_8,cat_3,cat_7,cat_8
cat_3,cat_3,cat_2,cat_3,cat_2,cat_1,cat_9,cat_10,cat_9,cat_8,cat_1,cat_2,cat_7,cat_1,cat_8,cat_7,cat_5,cat_7,cat_4,cat_8
cat_9,cat_3,cat_6,cat_5,cat_6,cat_6,cat_10,cat_8,cat_1,cat_7,cat_7,cat_3,cat_3,cat_4,cat_10,cat_2,cat_1,cat_1,cat_10,cat_1
cat_2,cat_1,cat_5,cat_7,cat_10,cat_7,cat_6,cat_8,cat_2,cat_3,cat_3,cat_10,cat_1,cat_1,cat_10,cat_2,cat_4,cat_6,cat_10,cat_2
cat_3,cat_6,cat_4,cat_9,cat_6,cat_4,cat_9,cat_7,cat_5,cat_7,cat_1,cat_2,cat_1,cat_1,cat_9,cat_10,cat_5,cat_10,cat_5,cat_7
cat_7,cat_3,cat_9,cat_7,cat_10,cat_8,cat_9,cat_1,cat_6,cat_8,cat_5,cat_2,cat_5,cat_2,cat_2,cat_7,cat_3,cat_8,cat_5,cat_4
cat_6,cat_2,cat_10,cat_1,cat_9,cat_10,cat_3,cat_1,cat_6,cat_6,cat_6,cat_10,cat_1,cat_3,cat_8,cat_2,cat_1,cat_10,cat_10,cat_1
cat_4,cat_5,cat_1,cat_3,cat_3,cat_10,cat_6,cat_6,cat_10,cat_5,cat_1,cat_10,cat_8,cat_7,cat_6,cat_5,cat_5,cat_7,cat_10,cat_6
cat_6,cat_8,cat_7,cat_1,cat_7,cat_1,cat_8,cat_8,cat_7,cat_7,cat_4,cat_5,cat_10,cat_7,cat_4,cat_1,cat_3,cat_4,cat_2,cat_1
cat_8,cat_4,cat_6,cat_4,cat_4,cat_2,cat_6,cat_4,cat_3,cat_5,cat_8,cat_5,cat_4,cat_5,cat_6,cat_4,cat_9,cat_10,cat_2,cat_8
cat_7,cat_8,cat_2,cat_4,cat_10,cat_3,cat_1,cat_7,cat_6,cat_3,cat_1,cat_4,cat_10,cat_1,cat_1,cat_4,cat_6,cat_9,cat_4,cat_2
cat_1,cat_9,cat_2,cat_6,cat_4,cat_8,cat_10,cat_8,cat_4,cat_3,cat_8,cat_3,cat_7,cat_3,cat_4,cat_6,cat_10,cat_9,cat_3,cat_7
cat_1,cat_3,cat_10,cat_6,cat_2,cat_2,cat_4,cat_10,cat_6,cat_2,cat_8,cat_4,cat_9,cat_8,cat_4,cat_3,cat_3,cat_2,cat_1,cat_7
cat_9,cat_3,cat_8,cat_7,cat_3,cat_6,cat_2,cat_1,cat_8,cat_8,cat_3,cat_6,cat_8,cat_1,cat_6,cat_7,cat_4,cat_2,cat_2,cat_8
cat_7,cat_8,cat_5,cat_5,cat_8,cat_2,cat_10,cat_3,cat_5,cat_10,cat_1,cat_10,cat_2,cat_5,cat_2,cat_2,cat_5,cat_5,cat_4,cat_1
cat_8,cat_2,cat_8,cat_10,cat_10,cat_9,cat_7,cat_7,cat_4,cat_10,cat_1,cat_7,cat_9,cat_4,cat_7,cat_3,cat_7,cat_8,cat_1,cat_8
cat_10,cat_4,cat_5,cat_7,cat_4,cat_5,cat_1,cat_9,cat_5,cat_2,cat_6,cat_4,cat_10,cat_1,cat_8,cat_2,cat_6,cat_5,cat_6,cat_4
cat_6,cat_9,cat_9,cat_9,cat_6,cat_7,cat_5,cat_9,cat_1,cat_4,cat_7,cat_8,cat_2,cat_2,cat_2,cat_2,cat_2,cat_10,cat_8,cat_5
cat_9,cat_9,cat_7,cat_7,cat_8,cat_10,cat_10,cat_5,cat_2,cat_8,cat_4,cat_5,cat_4,cat_7,cat_2,cat_6,cat_1,cat_3,cat_4,cat_9
cat_6,cat_6,cat_2,cat_3,cat_3,cat_1,cat_7,cat_10,cat_2,cat_2,cat_10,cat_8,cat_2,cat_3,cat_6,cat_2,cat_5,cat_5,cat_1,cat_2
cat_1,cat_9,cat_2,cat_3,cat_6,cat_2,cat_9,cat_1,cat_3,cat_10,cat_9,cat_8,cat_1,cat_10,cat_4,cat_3,cat_3,cat_9,cat_6,cat_6
cat_9,cat_6,cat_1,cat_8,cat_10,cat_8,cat_2,cat_7,cat_4,cat_7,cat_8,cat_2,cat_5,cat_10,cat_2,cat_2,cat_10,cat_1,cat_2,cat_9
cat_1,cat_5,cat_5,cat_8,cat_7,cat_9,cat_10,cat_2,cat_8,cat_1,cat_3,cat_7,cat_1,cat_8,cat_3,cat_2,cat_1,cat_9,cat_3,cat_5
cat_2,cat_1,cat_8,cat_7,cat_1,cat_4,cat_9,cat_1,cat_7,cat_5,cat_2,cat_7,cat_2,cat_9,cat_8,cat_1,cat_7,cat_8,cat_3,cat_7
cat_3,cat_4,cat_6,cat_3,cat_5,cat_6,cat_4,cat_7,cat_10,cat_4,cat_9,cat_8,cat_10,cat_1,cat_5,cat_6,cat_5,cat_1,cat_6,cat_5
cat_2,cat_9,cat_7,cat_3,cat_3,cat_7,cat_2,cat_1,cat_2,cat_10,cat_3,cat_1,cat_8,cat_10,cat_7,cat_9,cat_7,cat_6,cat_8,cat_1
cat_2,cat_8,cat_4,cat_3,cat_4,cat_5,cat_6,cat_10,cat_4,cat_8,cat_4,cat_9,cat_9,cat_7,cat_7,cat_4,cat_8,cat_9,cat_5,cat_10
cat_2,cat_8,cat_1,cat_4,cat_6,cat_9,cat_6,cat_4,cat_5,cat_7,cat_2,cat_9,cat_5,cat_8,cat_10,cat_8,cat_9,cat_5,cat_4,cat_4
cat_3,cat_3,cat_4,cat_7,cat_5,cat_8,cat_9,cat_2,cat_10,cat_4,cat_5,cat_10,cat_3,cat_2,cat_2,cat_1,cat_2,cat_5,cat_3,cat_4
cat_7,cat_7,cat_3,cat_5,cat_9,cat_6,cat_6,cat_10,cat_2,cat_4,cat_1,cat_9,cat_8,cat_10,cat_1,cat_7,cat_4,cat_1,cat_4,cat_1
cat_2,cat_3,cat_4,cat_3,cat_2,cat_5,cat_8,cat_7,cat_10,cat_4,cat_1,cat_9,cat_7,cat_6,cat_8,cat_7,cat_6,cat_10,cat_1,cat_8
cat_8,cat_4,cat_6,cat_3,cat_4,cat_1,cat_7,cat_4,cat_2,cat_5,cat_5,cat_6,cat_10,cat_8,cat_2,cat_10,cat_9,cat_10,cat_7,cat_9
cat_7,cat_6,cat_1,cat_4,cat_9,cat_2,cat_1,cat_6,cat_8,cat_3,cat_3,cat_4,cat_5,cat_5,cat_3,cat_9,cat_4,cat_9,cat_2,cat_10
cat_3,cat_3,cat_8,cat_9,cat_3,cat_3,cat_1,cat_2,cat_6,cat_3,cat_7,cat_6,cat_1,cat_9,cat_7,cat_5,cat_5,cat_6,cat_10,cat_9
cat_9,cat_3,cat_9,cat_8,cat_7,cat_4,cat_10,cat_10,cat_1,cat_8,cat_7,cat_7,cat_2,cat_2,cat_2,cat_7,cat_7,cat_5,cat_10,cat_4
cat_10,cat_4,cat_6,cat_6,cat_2,cat_4,cat_1,cat_7,cat_6,cat_9,cat_10,cat_8,cat_1,cat_9,cat_1,cat_10,cat_10,cat_2,cat_10,cat_3
cat_9,cat_6,cat_4,cat_10,cat_10,cat_1,cat_2,cat_9,cat_1,cat_5,cat_9,cat_3,cat_1,cat_5,cat_3,cat_4,cat_10,cat_3,cat_1,cat_1
cat_1,cat_3,cat_3,cat_10,cat_7,cat_10,cat_6,cat_5,cat_6,cat_5,cat_2,cat_6,cat_3,cat_3,cat_9,cat_9,cat_3,cat_4,cat_3,cat_3
cat_3,cat_4,cat_8,cat_3,cat_3,cat_7,cat_9,cat_2,cat_7,cat_7,cat_5,cat_6,cat_6,cat_7,cat_8,cat_1,cat_2,cat_2,cat_1,cat_3
cat_3,cat_10,cat_4,cat_8,cat_9,cat_1,cat_3,cat_9,cat_4,cat_7,cat_1,cat_10,cat_2,cat_6,cat_2,cat_2,cat_6,cat_1,cat_4,cat_7
cat_1,cat_5,cat_6,cat_3,cat_5,cat_5,cat_4,cat_8,cat_7,cat_4,cat_3,cat_1,cat_2,cat_5,cat_5,cat_2,cat_2,cat_8,cat_4,cat_2
cat_4,cat_9,cat_7,cat_10,cat_1,cat_9,cat_4,cat_4,cat_5,cat_8,cat_1,cat_5,cat_7,cat_3,cat_7,cat_3,cat_10,cat_5,cat_9,cat_5
cat_7,cat_1,cat_8,cat_8,cat_3,cat_7,cat_8,cat_10,cat_10,cat_2,cat_7,cat_5,cat_2,cat_1,cat_4,cat_10,cat_3,cat_5,cat_10,cat_9
cat_2,cat_2,cat_2,cat_6,cat_6,cat_7,cat_3,cat_5,cat_5,cat_1,cat_7,cat_2,cat_5,cat_5,cat_7,cat_2,cat_10,cat_4,cat_6,cat_8
cat_4,cat_4,cat_6,cat_10,cat_9,cat_6,cat_2,cat_9,cat_9,cat_7,cat_8,cat_9,cat_8,cat_9,cat_5,cat_6,cat_10,cat_10,cat_9,cat_3
cat_5,cat_6,cat_6,cat_7,cat_2,cat_3,cat_8,cat_8,cat_8,cat_4,cat_3,cat_8,cat_1,cat_8,cat_6,cat_9,cat_2,cat_7,cat_3,cat_6
cat_7,cat_2,cat_10,cat_9,cat_7,cat_3,cat_2,cat_10,cat_3,cat_3,cat_4,cat_7,cat_4,cat_3,cat_1,cat_5,cat_4,cat_7,cat_9,cat_8
cat_5,cat_7,cat_2,cat_6,cat_5,cat_10,cat_9,cat_1,cat_1,cat_1,cat_6,cat_7,cat_6,cat_4,cat_3,cat_1,cat_8,cat_3,cat_2,cat_5
cat_1,cat_2,cat_10,cat_7,cat_2,cat_9,cat_3,cat_8,cat_1,cat_7,cat_6,cat_2,cat_4,cat_8,cat_9,cat_5,cat_4,cat_7,cat_1,cat_9
cat_4,cat_7,cat_3,cat_4,cat_7,cat_1,cat_7,cat_5,cat_9,cat_2,cat_8,cat_10,cat_7,cat_3,cat_6,cat_10,cat_8,cat_3,cat_5,cat_5
cat_3,cat_1,cat_1,cat_3,cat_5,cat_10,cat_6,cat_9,cat_8,cat_3,cat_4,cat_7,cat_9,cat_7,cat_9,cat_3,cat_2,cat_1,cat_6,cat_5
cat_8,cat_5,cat_5,cat_5,cat_6,cat_1,cat_4,cat_9,cat_10,cat_10,cat_8,cat_4,cat_2,cat_3,cat_10,cat_10,cat_9,cat_3,cat_5,cat_7
cat_5,cat_6,cat_5,cat_5,cat_8,cat_3,cat_3,cat_9,cat_7,cat_2,cat_8,cat_6,cat_7,cat_9,cat_7,cat_3,cat_9,cat_4,cat_8,cat_4
cat_1,cat_8,cat_7,cat_2,cat_8,cat_5,cat_5,cat_5,cat_9,cat_3,cat_8,cat_5,cat_1,cat_1,cat_10,cat_9,cat_8,cat_2,cat_2,cat_4
cat_4,cat_4,cat_7,cat_2,cat_7,cat_3,cat_10,cat_9,cat_9,cat_4,cat_9,cat_8,cat_1,cat_7,cat_3,cat_2,cat_8,cat_5,cat_2,cat_5
cat_2,cat_5,cat_10,cat_3,cat_10,cat_1,cat_1,cat_9,cat_1,cat_8,cat_10,cat_3,cat_3,cat_9,cat_8,cat_6,cat_6,cat_10,cat_10,cat_7
cat_7,cat_6,cat_6,cat_6,cat_1,cat_9,cat_4,cat_5,cat_6,cat_8,cat_2,cat_2,cat_1,cat_1,cat_4,cat_6,cat_4,cat_3,cat_2,cat_2
cat_10,cat_1,cat_7,cat_2,cat_5,cat_5,cat_2,cat_1,cat_1,cat_4,cat_4,cat_6,cat_5,cat_2,cat_10,cat_10,cat_2,cat_5,cat_10,cat_2
cat_9,cat_3,cat_7,cat_6,cat_8,cat_7,cat_2,cat_10,cat_10,cat_3,cat_2,cat_3,cat_8,cat_10,cat_9,cat_2,cat_2,cat_2,cat_10,cat_6
cat_4,cat_9,cat_7,cat_9,cat_9,cat_1,cat_9,cat_8,cat_7,cat_6,cat_2,cat_4,cat_4,cat_1,cat_3,cat_4,cat_10,cat_1,cat_4,cat_3
cat_5,cat_3,cat_2,cat_4,cat_5,cat_8,cat_8,cat_7,cat_3,cat_7,cat_10,cat_2,cat_3,cat_10,cat_9,cat_7,cat_7,cat_8,cat_9,cat_10
cat_8,cat_6,cat_1,cat_4,cat_6,cat_10,cat_4,cat_6,cat_7,cat_4,cat_3,cat_10,cat_4,cat_3,cat_5,cat_5,cat_8,cat_5,cat_2,cat_8
cat_2,cat_3,cat_4,cat_5,cat_2,cat_4,cat_8,cat_6,cat_7,cat_5,cat_5,cat_3,cat_9,cat_9,cat_2,cat_6,cat_10,cat_5,cat_2,cat_4
cat_8,cat_1,cat_10,cat_3,cat_7,cat_2,cat_3,cat_7,cat_1,cat_5,cat_8,cat_8,cat_7,cat_8,cat_5,cat_2,cat_9,cat_9,cat_7,cat_8
cat_4,cat_6,cat_5,cat_2,cat_6,cat_4,cat_10,cat_5,cat_3,cat_9,cat_10,cat_1,cat_6,cat_8,cat_7,cat_5,cat_8,cat_10,cat_10,cat_2
cat_5,cat_1,cat_3,cat_4,cat_7,cat_5,cat_7,cat_4,cat_4,cat_8,cat_10,cat_6,cat_10,cat_7,cat_6,cat_3,cat_1,cat_8,cat_9,cat_1
cat_3,cat_4,cat_7,cat_9,cat_1,cat_5,cat_8,cat_8,cat_7,cat_5,cat_9,cat_10,cat_6,cat_1,cat_7,cat_9,cat_6,cat_5,cat_8,cat_6
cat_4,cat_2,cat_10,cat_7,cat_2,cat_5,cat_2,cat_2,cat_9,cat_4,cat_6,cat_1,cat_10,cat_4,cat_4,cat_10,cat_6,cat_10,cat_4,cat_7
cat_4,cat_7,cat_2,cat_9,cat_5,cat_7,cat_2,cat_10,cat_10,cat_1,cat_8,cat_3,cat_3,cat_4,cat_10,cat_6,cat_7,cat_2,cat_10,cat_3
cat_6,cat_1,cat_8,cat_2,cat_8,cat_3,cat_5,cat_7,cat_5,cat_5,cat_5,cat_2,cat_1,cat_7,cat_6,cat_10,cat_9,cat_3,cat_7,cat_9
cat_2,cat_9,cat_5,cat_2,cat_4,cat_6,cat_10,cat_3,cat_8,cat_8,cat_1,cat_5,cat_2,cat_3,cat_8,cat_4,cat_6,cat_7,cat_7,cat_6
cat_3,cat_5,cat_4,cat_4,cat_9,cat_7,cat_3,cat_9,cat_2,cat_9,cat_9,cat_5,cat_10,cat_10,cat_5,cat_6,cat_8,cat_2,cat_3,cat_6
cat_6,cat_3,cat_5,cat_3,cat_7,cat_10,cat_5,cat_6,cat_1,cat_10,cat_1,cat_3,cat_2,cat_6,cat_8,cat_6,cat_5,cat_6,cat_9,cat_1
cat_1,cat_10,cat_4,cat_9,cat_10,cat_10,cat_7,cat_2,cat_1,cat_4,cat_3,cat_9,cat_2,cat_4,cat_6,cat_3,cat_6,cat_6,cat_10,cat_9
cat_1,cat_1,cat_4,cat_2,cat_6,cat_8,cat_4,cat_2,cat_10,cat_10,cat_1,cat_2,cat_4,cat_10,cat_2,cat_7,cat_3,cat_1,cat_1,cat_3
cat_3,cat_2,cat_1,cat_4,cat_2,cat_8,cat_4,cat_1,cat_7,cat_6,cat_5,cat_9,cat_7,cat_3,cat_4,cat_9,cat_7,cat_2,cat_4,cat_6
cat_5,cat_3,cat_8,cat_4,cat_6,cat_10,cat_1,cat_5,cat_2,cat_2,cat_8,cat_3,cat_1,cat_9,cat_4,cat_8,cat_7,cat_9,cat_7,cat_5
cat_10,cat_5,cat_4,cat_9,cat_8,cat_3,cat_9,cat_8,cat_9,cat_1,cat_5,cat_8,cat_2,cat_5,cat_4,cat_8,cat_10,cat_10,cat_4,cat_1
cat_7,cat_8,cat_1,cat_10,cat_5,cat_7,cat_5,cat_7,cat_3,cat_8,cat_1,cat_3,cat_7,cat_3,cat_1,cat_6,cat_8,cat_5,cat_4,cat_7
cat_6,cat_4,cat_2,cat_3,cat_2,cat_2,cat_6,cat_2,cat_9,cat_3,cat_1,cat_7,cat_5,cat_5,cat_5,cat_8,cat_2,cat_5,cat_9,cat_4
cat_4,cat_8,cat_6,cat_4,cat_10,cat_7,cat_8,cat_7,cat_4,cat_2,cat_6,cat_4,cat_4,cat_5,cat_9,cat_9,cat_5,cat_5,cat_4,cat_5
cat_4,cat_1,cat_2,cat_7,cat_9,cat_10,cat_1,cat_9,cat_6,cat_2,cat_9,cat_8,cat_9,cat_4,cat_10,cat_8,cat_10,cat_1,cat_10,cat_6
cat_8,cat_9,cat_4,cat_8,cat_7,cat_9,cat_10,cat_10,cat_9,cat_10,cat_10,cat_8,cat_6,cat_3,cat_4,cat_7,cat_7,cat_4,cat_6,cat_1
cat_6,cat_6,cat_3,cat_1,cat_3,cat_5,cat_9,cat_8,cat_7,cat_10,cat_7,cat_2,cat_6,cat_4,cat_3,cat_8,cat_6,cat_1,cat_2,cat_1
